date,count,uniques,last_seen_snapshot
2026-05-28,0,0,2026-06-12
2026-05-29,0,0,2026-06-12
2026-05-30,1,1,2026-06-13
2026-05-31,0,0,2026-06-14
2026-06-01,0,0,2026-06-15
2026-06-02,0,0,2026-06-16
2026-06-03,0,0,2026-06-17
2026-06-04,0,0,2026-06-18
2026-06-05,0,0,2026-06-19
2026-06-06,0,0,2026-06-20
2026-06-07,0,0,2026-06-21
2026-06-08,0,0,2026-06-22
2026-06-09,0,0,2026-06-23
2026-06-10,0,0,2026-06-24
2026-06-11,0,0,2026-06-25
2026-06-12,1,1,2026-06-26
2026-06-13,1,1,2026-06-27
2026-06-14,0,0,2026-06-28
2026-06-15,0,0,2026-06-29
2026-06-16,0,0,2026-06-29
2026-06-17,0,0,2026-06-29
2026-06-18,0,0,2026-06-29
2026-06-19,0,0,2026-06-29
2026-06-20,0,0,2026-06-29
2026-06-21,0,0,2026-06-29
2026-06-22,0,0,2026-06-29
2026-06-23,0,0,2026-06-29
2026-06-24,0,0,2026-06-29
2026-06-25,0,0,2026-06-29
2026-06-26,0,0,2026-06-29
2026-06-27,0,0,2026-06-29
2026-06-28,0,0,2026-06-29
